2023-04-16T20:17:38.148 [Log Analyzer: 16956, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::SendResponse ]   send message: {"command":"ANALYZE_LOG_FILE","response":{"errorInfo":{"errorCode":"","errorContext":"","errorString":""}},"source":"DDA_LA","target":"DDA_CORE","version":"DDA_V1"} 
2023-04-16T20:17:43.401 [Log Analyzer: 16956, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::NewMessageAvailable ]   NewMessageAvailable: {"command":"ANALYZE_LOG_FILE","request":{"Package":{"Configuration":{"AdditionalPackageInfo":null,"Attributes":{"allowRollback":"true","diskCost":"22462464","ignoreFailure":"true","majorUpgrade":"true","permanent":"true"},"InstallFile":{"contents":"File","file":"x64/Substance/SubstanceInMaya-2.1.9-2022-Windows.exe","installParams":"/VERYSILENT /SUPPRESSMSGBOXES /NORESTART","type":"EXE"},"Languages":[{"langId":"en-US"}],"LaunchShortcut":null,"Platforms":[{"architecture":"x64","minVersion":"7","name":"Windows"}]},"Dependencies":null,"Identity":{"BuildNumber":{"#value":"2.1.9"},"ConstantId":"{6984DC4D-151A-4FCF-9932-6734395133DB}","DisplayName":"Substance in Maya 2022","PLC":"MAYA","Publisher":{"#value":"Allegorithmic, Inc.","thirdParty":"true"},"Release":"2022","Signature":"XcTN0af4xDa++d/4oTnwuxvd6jbhQp4KilFVN/z+rvo=","Type":"APP","UPI2":"{6006780A-EBDA-31EA-A63D-70A5174389BA}","UpgradeCode":"{4DF3B37B-2E79-3386-94EE-8F3FBF5CF3CF}"},"Resources":null,"external":"false","installAs":"core","name":"Substance","packagePath":"E:\\x64\\Substance\\SubstanceInMaya-2.1.9-2022-Windows.exe","path":"x64/Substance/pkg.substance.xml","version":"1.0","xmlns":"https://emsfs.autodesk.com/schema/manifest/1/0","xmlns:xsi":"http://www.w3.org/2001/XMLSchema-instance","xsi:schemaLocation":""}},"source":"DDA_CORE","target":"DDA_LA","version":"DDA_V1"} 
2023-04-16T20:17:43.402 [Log Analyzer: 16956, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerHandler::AnalyzeLogFile ]   Autodesk::LogAnalyzerHandler::AnalyzeLogFile 
2023-04-16T20:17:43.402 [Log Analyzer: 16956, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerHandler::GetLogFilePath ]   Autodesk::LogAnalyzerHandler::GetLogFilePath 
2023-04-16T20:17:43.403 [Log Analyzer: 16956, single] [LogAnalyzer WARN] [ Autodesk::LogAnalyzerHandler::AnalyzeLogFile ]   log file does not exist: C:\Users\Deepak\AppData\Local\Temp\SubstanceInMaya-2.1.9-2022-Windows_2022_install.log 
2023-04-16T20:17:43.404 [Log Analyzer: 16956, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::SendResponse ]   send message: {"command":"ANALYZE_LOG_FILE","response":{"errorInfo":{"errorCode":"","errorContext":"","errorString":""}},"source":"DDA_LA","target":"DDA_CORE","version":"DDA_V1"} 
2023-04-16T20:18:51.348 [Log Analyzer: 16956, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::NewMessageAvailable ]   NewMessageAvailable: {"command":"EXIT_REQUEST","request":{"eventSource":7,"eventTarget":5},"source":"DDA_CORE","target":"DDA_LA","version":"DDA_V1"} 
2023-04-16T20:18:51.348 [Log Analyzer: 16956, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::HandleIPCMessage ]   Exit command received. Stop LogAnalyzer 
2023-04-16T20:18:51.348 [Log Analyzer: 16956, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   Autodesk::LogAnalyzerClient::BreakConnection 
2023-04-16T20:18:51.349 [Log Analyzer: 16956, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   destroying IPC channel... 
2023-04-16T20:18:51.349 [Log Analyzer: 16956, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   Finish waiting for connection... 
2023-04-16T20:18:51.349 [Log Analyzer: 16956, single] [LogAnalyzer INFO] [ main ]   Log Analyzer exited 
2023-04-16T20:31:03.900 [Log Analyzer: 28024, single] [LogAnalyzer INFO] ======================== Start LogAnalyzer ========================
2023-04-16T20:31:03.901 [Log Analyzer: 28024, single] [LogAnalyzer INFO] Version : 1.39.0.3
2023-04-16T20:31:03.901 [Log Analyzer: 28024, single] [LogAnalyzer INFO] OS-Name : Windows
2023-04-16T20:31:03.901 [Log Analyzer: 28024, single] [LogAnalyzer INFO] OS-Version : 10.0
2023-04-16T20:31:03.901 [Log Analyzer: 28024, single] [LogAnalyzer INFO] OS-Locale : en-IN
2023-04-16T20:31:03.901 [Log Analyzer: 28024, single] [LogAnalyzer INFO] Running-Mode : root
2023-04-16T20:31:03.901 [Log Analyzer: 28024, single] [LogAnalyzer INFO] Build-Mode : Release
2023-04-16T20:31:03.901 [Log Analyzer: 28024, single] [LogAnalyzer INFO] ==================================================================
2023-04-16T20:31:03.901 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   Autodesk::LogAnalyzerClient::Initialize 
2023-04-16T20:31:03.901 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   connecting to IPC channel... 
2023-04-16T20:31:03.902 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Connected ]   Autodesk::LogAnalyzerClient::Connected 
2023-04-16T20:31:03.902 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   waiting for connection... 
2023-04-16T20:40:59.021 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::NewMessageAvailable ]   NewMessageAvailable: {"command":"ANALYZE_LOG_FILE","request":{"Package":{"Configuration":{"AdditionalPackageInfo":{"uninstallCommand":"c:/solidangle/mtoadeploy/2022/Uninstall.exe /S /FORCE_UNINSTALL=1"},"Attributes":{"allowRollback":"true","diskCost":"170000","ignoreFailure":"true","majorUpgrade":"true","permanent":"true","suppressARP":"false"},"Conditions":[{"#value":"( (%M_TO_A_2022% CONTAINS 4.2.1) )","messageId":"xx","state":"INSTALLED"}],"InstallFile":{"contents":"File","file":"3rdParty/MtoA/MtoA.exe","installParams":"/S /FORCE_UNINSTALL=1 /norestart","type":"EXE","uninstallParams":"/S /FORCE_UNINSTALL=1"},"Languages":[{"langId":"en-US"}],"LaunchShortcut":null,"Platforms":[{"architecture":"x64","minVersion":"7","name":"Windows"}],"Properties":[{"RegistrySearch":{"id":"M_TO_A_2022","key":"Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MtoA2022","name":"DisplayVersion","root":"HKCU"},"property":"M_TO_A_2022"}]},"Dependencies":null,"Identity":{"BuildNumber":{"#value":"4.2.1"},"ConstantId":"{9C8FFBE5-EEBD-4720-B5B6-E73D5AE4EA68}","DisplayName":"Arnold renderer for Maya 2022","PLC":"MAYA","Publisher":{"#value":"Autodesk, Inc.","thirdParty":"true"},"Release":"2022","Signature":"igv7dyq1u4CUtoINh11SZ2L8gwLB9IJ6kvE7OptYFa4=","Type":"APP","UPI2":"{D8014418-76B2-394D-88FD-4EBE31252732}","UpgradeCode":"{69BF5469-26BD-3904-80D3-1C9FE9146FFE}"},"Resources":null,"external":"false","installAs":"core","name":"MtoA","packagePath":"E:\\3rdParty\\MtoA\\MtoA.exe","path":"3rdParty/MtoA/pkg.mtoa.xml","version":"1.0","xmlns":"https://emsfs.autodesk.com/schema/manifest/1/0","xmlns:xsi":"http://www.w3.org/2001/XMLSchema-instance","xsi:schemaLocation":""}},"source":"DDA_CORE","target":"DDA_LA","version":"DDA_V1"} 
2023-04-16T20:40:59.023 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerHandler::AnalyzeLogFile ]   Autodesk::LogAnalyzerHandler::AnalyzeLogFile 
2023-04-16T20:40:59.023 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerHandler::GetLogFilePath ]   Autodesk::LogAnalyzerHandler::GetLogFilePath 
2023-04-16T20:43:09.053 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::NewMessageAvailable ]   NewMessageAvailable: {"command":"ANALYZE_LOG_FILE","request":{"Package":{"Configuration":{"AdditionalPackageInfo":null,"Attributes":{"allowRollback":"true","diskCost":"22462464","ignoreFailure":"true","majorUpgrade":"true","permanent":"true"},"InstallFile":{"contents":"File","file":"x64/Substance/SubstanceInMaya-2.1.9-2022-Windows.exe","installParams":"/VERYSILENT /SUPPRESSMSGBOXES /NORESTART","type":"EXE"},"Languages":[{"langId":"en-US"}],"LaunchShortcut":null,"Platforms":[{"architecture":"x64","minVersion":"7","name":"Windows"}]},"Dependencies":null,"Identity":{"BuildNumber":{"#value":"2.1.9"},"ConstantId":"{6984DC4D-151A-4FCF-9932-6734395133DB}","DisplayName":"Substance in Maya 2022","PLC":"MAYA","Publisher":{"#value":"Allegorithmic, Inc.","thirdParty":"true"},"Release":"2022","Signature":"XcTN0af4xDa++d/4oTnwuxvd6jbhQp4KilFVN/z+rvo=","Type":"APP","UPI2":"{6006780A-EBDA-31EA-A63D-70A5174389BA}","UpgradeCode":"{4DF3B37B-2E79-3386-94EE-8F3FBF5CF3CF}"},"Resources":null,"external":"false","installAs":"core","name":"Substance","packagePath":"E:\\x64\\Substance\\SubstanceInMaya-2.1.9-2022-Windows.exe","path":"x64/Substance/pkg.substance.xml","version":"1.0","xmlns":"https://emsfs.autodesk.com/schema/manifest/1/0","xmlns:xsi":"http://www.w3.org/2001/XMLSchema-instance","xsi:schemaLocation":""}},"source":"DDA_CORE","target":"DDA_LA","version":"DDA_V1"} 
2023-04-16T20:43:09.054 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerHandler::AnalyzeLogFile ]   Autodesk::LogAnalyzerHandler::AnalyzeLogFile 
2023-04-16T20:43:09.054 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerHandler::GetLogFilePath ]   Autodesk::LogAnalyzerHandler::GetLogFilePath 
2023-04-16T20:43:09.054 [Log Analyzer: 28024, single] [LogAnalyzer WARN] [ Autodesk::LogAnalyzerHandler::AnalyzeLogFile ]   log file does not exist: C:\Users\Deepak\AppData\Local\Temp\SubstanceInMaya-2.1.9-2022-Windows_2022_install.log 
2023-04-16T20:43:09.054 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::SendResponse ]   send message: {"command":"ANALYZE_LOG_FILE","response":{"errorInfo":{"errorCode":"","errorContext":"","errorString":""}},"source":"DDA_LA","target":"DDA_CORE","version":"DDA_V1"} 
2023-04-16T20:43:32.115 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::NewMessageAvailable ]   NewMessageAvailable: {"command":"EXIT_REQUEST","request":{"eventSource":7,"eventTarget":5},"source":"DDA_CORE","target":"DDA_LA","version":"DDA_V1"} 
2023-04-16T20:43:32.115 [Log Analyzer: 28024, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::HandleIPCMessage ]   Exit command received. Stop LogAnalyzer 
2023-04-16T20:43:32.116 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   Autodesk::LogAnalyzerClient::BreakConnection 
2023-04-16T20:43:32.116 [Log Analyzer: 28024, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   destroying IPC channel... 
2023-04-16T20:43:32.116 [Log Analyzer: 28024, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   Finish waiting for connection... 
2023-04-16T20:43:32.116 [Log Analyzer: 28024, single] [LogAnalyzer INFO] [ main ]   Log Analyzer exited 
2023-05-06T13:08:31.138 [Log Analyzer: 23556, single] [LogAnalyzer INFO] ======================== Start LogAnalyzer ========================
2023-05-06T13:08:31.138 [Log Analyzer: 23556, single] [LogAnalyzer INFO] Version : 1.39.0.3
2023-05-06T13:08:31.138 [Log Analyzer: 23556, single] [LogAnalyzer INFO] OS-Name : Windows
2023-05-06T13:08:31.138 [Log Analyzer: 23556, single] [LogAnalyzer INFO] OS-Version : 10.0
2023-05-06T13:08:31.138 [Log Analyzer: 23556, single] [LogAnalyzer INFO] OS-Locale : en-IN
2023-05-06T13:08:31.138 [Log Analyzer: 23556, single] [LogAnalyzer INFO] Running-Mode : root
2023-05-06T13:08:31.138 [Log Analyzer: 23556, single] [LogAnalyzer INFO] Build-Mode : Release
2023-05-06T13:08:31.138 [Log Analyzer: 23556, single] [LogAnalyzer INFO] ==================================================================
2023-05-06T13:08:31.139 [Log Analyzer: 23556, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   Autodesk::LogAnalyzerClient::Initialize 
2023-05-06T13:08:31.139 [Log Analyzer: 23556, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   connecting to IPC channel... 
2023-05-06T13:08:31.140 [Log Analyzer: 23556, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Connected ]   Autodesk::LogAnalyzerClient::Connected 
2023-05-06T13:08:31.140 [Log Analyzer: 23556, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   waiting for connection... 
2023-05-06T13:12:13.403 [Log Analyzer: 23556, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::NewMessageAvailable ]   NewMessageAvailable: {"command":"EXIT_REQUEST","request":{"eventSource":7,"eventTarget":5},"source":"DDA_CORE","target":"DDA_LA","version":"DDA_V1"} 
2023-05-06T13:12:13.404 [Log Analyzer: 23556, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::HandleIPCMessage ]   Exit command received. Stop LogAnalyzer 
2023-05-06T13:12:13.404 [Log Analyzer: 23556, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   Autodesk::LogAnalyzerClient::BreakConnection 
2023-05-06T13:12:13.404 [Log Analyzer: 23556, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   destroying IPC channel... 
2023-05-06T13:12:13.404 [Log Analyzer: 23556, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   Finish waiting for connection... 
2023-05-06T13:12:13.404 [Log Analyzer: 23556, single] [LogAnalyzer INFO] [ main ]   Log Analyzer exited 
